,Season,Game,Score,Teams,Home Team,Away Team
1414,2003-2004,28,0-0,Alavés - Mallorca,Alavés,Mallorca
1415,2003-2004,28,1-0,Racing - Sevilla,Racing,Sevilla
1416,2003-2004,28,0-1,Osasuna - Málaga,Osasuna,Málaga
1417,2003-2004,28,1-0,Athletic - Atlético,Athletic,Atlético
1418,2003-2004,28,0-1,Real Valladolid - Recreativo,Real Valladolid,Recreativo
1419,2003-2004,28,2-1,Deportivo - R. Sociedad,Deportivo,R. Sociedad
1420,2003-2004,29,3-1,Sevilla - Villarreal,Sevilla,Villarreal
1421,2003-2004,29,2-4,Barcelona - Deportivo,Barcelona,Deportivo
1422,2003-2004,29,1-0,Recreativo - Alavés,Recreativo,Alavés
1423,2003-2004,29,3-3,Atlético - Espanyol,Atlético,Espanyol
1424,2003-2004,29,3-3,Mallorca - Racing,Mallorca,Racing
1425,2003-2004,29,1-0,Celta - Real Betis,Celta,Real Betis
1426,2003-2004,29,1-0,Málaga - Real Valladolid,Málaga,Real Valladolid
1427,2003-2004,29,1-1,Rayo Vallecano - Athletic,Rayo Vallecano,Athletic
1428,2003-2004,29,4-2,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
1429,2003-2004,29,1-0,Valencia - Osasuna,Valencia,Osasuna
1430,2003-2004,30,1-0,Real Valladolid - Valencia,Real Valladolid,Valencia
1431,2003-2004,30,1-1,Villarreal - Mallorca,Villarreal,Mallorca
1432,2003-2004,30,1-1,Real Madrid - Barcelona,Real Madrid,Barcelona
1433,2003-2004,30,0-1,Alavés - Málaga,Alavés,Málaga
1434,2003-2004,30,0-2,Osasuna - Celta,Osasuna,Celta
1435,2003-2004,30,3-3,Espanyol - Athletic,Espanyol,Athletic
1436,2003-2004,30,3-1,Deportivo - Sevilla,Deportivo,Sevilla
1437,2003-2004,30,1-0,Racing - Recreativo,Racing,Recreativo
1438,2003-2004,30,2-2,Real Betis - Atlético,Real Betis,Atlético
1439,2003-2004,30,5-0,R. Sociedad - Rayo Vallecano,R. Sociedad,Rayo Vallecano
1440,2003-2004,31,3-1,Athletic - Real Betis,Athletic,Real Betis
1441,2003-2004,31,0-1,Atlético - Osasuna,Atlético,Osasuna
1442,2003-2004,31,3-0,Valencia - Alavés,Valencia,Alavés
1443,2003-2004,31,0-0,Celta - Real Valladolid,Celta,Real Valladolid
1444,2003-2004,31,2-2,Málaga - Racing,Málaga,Racing
1445,2003-2004,31,0-3,Rayo Vallecano - Espanyol,Rayo Vallecano,Espanyol
1446,2003-2004,31,5-0,Recreativo - Villarreal,Recreativo,Villarreal
1447,2003-2004,31,3-0,Mallorca - Deportivo,Mallorca,Deportivo
1448,2003-2004,31,1-3,Sevilla - Real Madrid,Sevilla,Real Madrid
1449,2003-2004,31,2-1,Barcelona - R. Sociedad,Barcelona,R. Sociedad
1450,2003-2004,32,1-5,Real Madrid - Mallorca,Real Madrid,Mallorca
1451,2003-2004,32,1-0,R. Sociedad - Sevilla,R. Sociedad,Sevilla
1452,2003-2004,32,0-0,Villarreal - Málaga,Villarreal,Málaga
1453,2003-2004,32,0-0,Alavés - Celta,Alavés,Celta
1454,2003-2004,32,1-1,Real Betis - Espanyol,Real Betis,Espanyol
1455,2003-2004,32,2-1,Racing - Valencia,Racing,Valencia
1456,2003-2004,32,3-1,Real Valladolid - Atlético,Real Valladolid,Atlético
1457,2003-2004,32,1-5,Osasuna - Athletic,Osasuna,Athletic
1458,2003-2004,32,3-0,Barcelona - Rayo Vallecano,Barcelona,Rayo Vallecano
1459,2003-2004,32,5-0,Deportivo - Recreativo,Deportivo,Recreativo
1460,2003-2004,33,0-1,Atlético - Alavés,Atlético,Alavés
1461,2003-2004,33,0-0,Recreativo - Real Madrid,Recreativo,Real Madrid
1462,2003-2004,33,0-0,Athletic - Real Valladolid,Athletic,Real Valladolid
1463,2003-2004,33,0-0,Espanyol - Osasuna,Espanyol,Osasuna
1464,2003-2004,33,0-2,Málaga - Deportivo,Málaga,Deportivo
1465,2003-2004,33,2-2,Celta - Racing,Celta,Racing
1466,2003-2004,33,1-1,Rayo Vallecano - Real Betis,Rayo Vallecano,Real Betis
1467,2003-2004,33,1-3,Mallorca - R. Sociedad,Mallorca,R. Sociedad
1468,2003-2004,33,1-2,Valencia - Villarreal,Valencia,Villarreal
1469,2003-2004,33,0-0,Sevilla - Barcelona,Sevilla,Barcelona
1470,2003-2004,34,0-2,Racing - Atlético,Racing,Atlético
1471,2003-2004,34,1-2,Deportivo - Valencia,Deportivo,Valencia
1472,2003-2004,34,1-1,Real Valladolid - Espanyol,Real Valladolid,Espanyol
1473,2003-2004,34,3-3,Sevilla - Rayo Vallecano,Sevilla,Rayo Vallecano
1474,2003-2004,34,5-0,Villarreal - Celta,Villarreal,Celta
1475,2003-2004,34,2-4,Alavés - Athletic,Alavés,Athletic
1476,2003-2004,34,1-0,R. Sociedad - Recreativo,R. Sociedad,Recreativo
1477,2003-2004,34,5-1,Real Madrid - Málaga,Real Madrid,Málaga
1478,2003-2004,34,2-1,Osasuna - Real Betis,Osasuna,Real Betis
1479,2003-2004,34,1-2,Barcelona - Mallorca,Barcelona,Mallorca
1480,2003-2004,35,2-1,Athletic - Racing,Athletic,Racing
1481,2003-2004,35,3-2,Atlético - Villarreal,Atlético,Villarreal
1482,2003-2004,35,3-0,Celta - Deportivo,Celta,Deportivo
1483,2003-2004,35,0-0,Rayo Vallecano - Osasuna,Rayo Vallecano,Osasuna
1484,2003-2004,35,1-2,Valencia - Real Madrid,Valencia,Real Madrid
1485,2003-2004,35,1-3,Mallorca - Sevilla,Mallorca,Sevilla
1486,2003-2004,35,3-1,Espanyol - Alavés,Espanyol,Alavés
1487,2003-2004,35,1-3,Recreativo - Barcelona,Recreativo,Barcelona
1488,2003-2004,35,2-2,Real Betis - Real Valladolid,Real Betis,Real Valladolid
1489,2003-2004,35,0-2,Málaga - R. Sociedad,Málaga,R. Sociedad
1490,2003-2004,36,1-1,Real Madrid - Celta,Real Madrid,Celta
1491,2003-2004,36,3-2,Deportivo - Atlético,Deportivo,Atlético
1492,2003-2004,36,0-1,Alavés - Real Betis,Alavés,Real Betis
1493,2003-2004,36,0-2,Real Valladolid - Osasuna,Real Valladolid,Osasuna
1494,2003-2004,36,1-1,Villarreal - Athletic,Villarreal,Athletic
1495,2003-2004,36,1-1,Mallorca - Rayo Vallecano,Mallorca,Rayo Vallecano
1496,2003-2004,36,2-1,Barcelona - Málaga,Barcelona,Málaga
1497,2003-2004,36,1-0,Sevilla - Recreativo,Sevilla,Recreativo
1498,2003-2004,36,1-1,R. Sociedad - Valencia,R. Sociedad,Valencia
1499,2003-2004,36,5-2,Racing - Espanyol,Racing,Espanyol
1500,2003-2004,37,2-0,Real Valladolid - Rayo Vallecano,Real Valladolid,Rayo Vallecano
1501,2003-2004,37,4-2,Osasuna - Alavés,Osasuna,Alavés
1502,2003-2004,37,1-3,Valencia - Barcelona,Valencia,Barcelona
1503,2003-2004,37,1-1,Recreativo - Mallorca,Recreativo,Mallorca
1504,2003-2004,37,3-2,Málaga - Sevilla,Málaga,Sevilla
1505,2003-2004,37,2-2,Espanyol - Villarreal,Espanyol,Villarreal
1506,2003-2004,37,3-2,Celta - R. Sociedad,Celta,R. Sociedad
1507,2003-2004,37,4-2,Real Betis - Racing,Real Betis,Racing
1508,2003-2004,37,3-2,Athletic - Deportivo,Athletic,Deportivo
1509,2003-2004,37,0-4,Atlético - Real Madrid,Atlético,Real Madrid
1510,2003-2004,38,0-0,Rayo Vallecano - Recreativo,Rayo Vallecano,Recreativo
1511,2003-2004,38,1-1,Alavés - Real Valladolid,Alavés,Real Valladolid
1512,2003-2004,38,0-3,Sevilla - Valencia,Sevilla,Valencia
1513,2003-2004,38,1-0,Mallorca - Málaga,Mallorca,Málaga
1514,2003-2004,38,2-3,Racing - Osasuna,Racing,Osasuna
1515,2003-2004,38,2-1,Deportivo - Espanyol,Deportivo,Espanyol
1516,2003-2004,38,1-4,Villarreal - Real Betis,Villarreal,Real Betis
1517,2003-2004,38,2-0,Barcelona - Celta,Barcelona,Celta
1518,2003-2004,38,3-0,R. Sociedad - Atlético,R. Sociedad,Atlético
1519,2003-2004,38,3-1,Real Madrid - Athletic,Real Madrid,Athletic
1520,2004-2005,1,1-1,Espanyol - R. Sociedad,Espanyol,R. Sociedad
1521,2004-2005,1,2-1,Real Madrid - Real Betis,Real Madrid,Real Betis
1522,2004-2005,1,0-2,Albacete - Osasuna,Albacete,Osasuna
1523,2004-2005,1,0-0,Málaga - Villarreal,Málaga,Villarreal
1524,2004-2005,1,0-1,Athletic - Barcelona,Athletic,Barcelona
1525,2004-2005,1,1-1,Valencia - Real Valladolid,Valencia,Real Valladolid
1526,2004-2005,1,2-1,Racing - Mallorca,Racing,Mallorca
1527,2004-2005,1,1-1,Celta - Real Murcia,Celta,Real Murcia
1528,2004-2005,1,1-0,Sevilla - Atlético,Sevilla,Atlético
1529,2004-2005,1,0-1,Real Zaragoza - Deportivo,Real Zaragoza,Deportivo
1530,2004-2005,2,1-1,Villarreal - Real Madrid,Villarreal,Real Madrid
1531,2004-2005,2,0-1,Osasuna - Valencia,Osasuna,Valencia
1532,2004-2005,2,1-1,R. Sociedad - Celta,R. Sociedad,Celta
1533,2004-2005,2,1-1,Barcelona - Sevilla,Barcelona,Sevilla
1534,2004-2005,2,1-0,Real Valladolid - Málaga,Real Valladolid,Málaga
1535,2004-2005,2,1-1,Real Murcia - Racing,Real Murcia,Racing
1536,2004-2005,2,2-0,Mallorca - Real Zaragoza,Mallorca,Real Zaragoza
1537,2004-2005,2,2-0,Deportivo - Athletic,Deportivo,Athletic
1538,2004-2005,2,2-2,Real Betis - Espanyol,Real Betis,Espanyol
1539,2004-2005,2,1-0,Atlético - Albacete,Atlético,Albacete
1540,2004-2005,3,7-2,Real Madrid - Real Valladolid,Real Madrid,Real Valladolid
1541,2004-2005,3,0-2,Celta - Real Betis,Celta,Real Betis
1542,2004-2005,3,0-1,Racing - R. Sociedad,Racing,R. Sociedad
1543,2004-2005,3,1-2,Sevilla - Deportivo,Sevilla,Deportivo
1544,2004-2005,3,1-0,Osasuna - Atlético,Osasuna,Atlético
1545,2004-2005,3,1-0,Valencia - Málaga,Valencia,Málaga
1546,2004-2005,3,1-2,Espanyol - Villarreal,Espanyol,Villarreal
1547,2004-2005,3,4-0,Athletic - Mallorca,Athletic,Mallorca
1548,2004-2005,3,3-0,Real Zaragoza - Real Murcia,Real Zaragoza,Real Murcia
1549,2004-2005,3,1-2,Albacete - Barcelona,Albacete,Barcelona
1550,2004-2005,4,1-1,Barcelona - Osasuna,Barcelona,Osasuna
1551,2004-2005,4,0-3,Atlético - Valencia,Atlético,Valencia
1552,2004-2005,4,3-1,Real Valladolid - Espanyol,Real Valladolid,Espanyol
1553,2004-2005,4,1-1,Mallorca - Sevilla,Mallorca,Sevilla
1554,2004-2005,4,3-0,Deportivo - Albacete,Deportivo,Albacete
1555,2004-2005,4,1-1,Villarreal - Celta,Villarreal,Celta
1556,2004-2005,4,3-0,R. Sociedad - Real Zaragoza,R. Sociedad,Real Zaragoza
1557,2004-2005,4,0-0,Real Betis - Racing,Real Betis,Racing
1558,2004-2005,4,2-2,Real Murcia - Athletic,Real Murcia,Athletic
1559,2004-2005,4,1-3,Málaga - Real Madrid,Málaga,Real Madrid
1560,2004-2005,5,1-0,Athletic - R. Sociedad,Athletic,R. Sociedad
1561,2004-2005,5,3-2,Celta - Real Valladolid,Celta,Real Valladolid
1562,2004-2005,5,3-2,Osasuna - Deportivo,Osasuna,Deportivo
1563,2004-2005,5,2-0,Valencia - Real Madrid,Valencia,Real Madrid
1564,2004-2005,5,0-2,Racing - Villarreal,Racing,Villarreal
1565,2004-2005,5,1-2,Espanyol - Málaga,Espanyol,Málaga
1566,2004-2005,5,0-1,Real Zaragoza - Real Betis,Real Zaragoza,Real Betis
1567,2004-2005,5,2-0,Albacete - Mallorca,Albacete,Mallorca
1568,2004-2005,5,1-0,Sevilla - Real Murcia,Sevilla,Real Murcia
1569,2004-2005,5,0-0,Atlético - Barcelona,Atlético,Barcelona
1570,2004-2005,6,5-1,Deportivo - Atlético,Deportivo,Atlético
1571,2004-2005,6,1-1,Villarreal - Real Zaragoza,Villarreal,Real Zaragoza
1572,2004-2005,6,1-1,Real Betis - Athletic,Real Betis,Athletic
1573,2004-2005,6,1-1,R. Sociedad - Sevilla,R. Sociedad,Sevilla
1574,2004-2005,6,1-0,Real Murcia - Albacete,Real Murcia,Albacete
1575,2004-2005,6,1-1,Mallorca - Osasuna,Mallorca,Osasuna
1576,2004-2005,6,2-1,Málaga - Celta,Málaga,Celta
1577,2004-2005,6,0-4,Real Valladolid - Racing,Real Valladolid,Racing
1578,2004-2005,6,2-1,Real Madrid - Espanyol,Real Madrid,Espanyol
1579,2004-2005,6,0-1,Barcelona - Valencia,Barcelona,Valencia
1580,2004-2005,7,0-2,Celta - Real Madrid,Celta,Real Madrid
1581,2004-2005,7,3-1,Albacete - R. Sociedad,Albacete,R. Sociedad
1582,2004-2005,7,0-2,Barcelona - Deportivo,Barcelona,Deportivo
1583,2004-2005,7,4-0,Valencia - Espanyol,Valencia,Espanyol
1584,2004-2005,7,4-2,Racing - Málaga,Racing,Málaga
1585,2004-2005,7,1-0,Real Zaragoza - Real Valladolid,Real Zaragoza,Real Valladolid
1586,2004-2005,7,2-0,Athletic - Villarreal,Athletic,Villarreal
1587,2004-2005,7,2-1,Atlético - Mallorca,Atlético,Mallorca
1588,2004-2005,7,2-1,Osasuna - Real Murcia,Osasuna,Real Murcia
1589,2004-2005,7,2-2,Sevilla - Real Betis,Sevilla,Real Betis
1590,2004-2005,8,2-1,Málaga - Real Zaragoza,Málaga,Real Zaragoza
1591,2004-2005,8,3-1,Real Madrid - Racing,Real Madrid,Racing
1592,2004-2005,8,2-1,Deportivo - Valencia,Deportivo,Valencia
1593,2004-2005,8,2-0,Real Valladolid - Athletic,Real Valladolid,Athletic
1594,2004-2005,8,1-0,R. Sociedad - Osasuna,R. Sociedad,Osasuna
1595,2004-2005,8,3-3,Villarreal - Sevilla,Villarreal,Sevilla
1596,2004-2005,8,0-4,Espanyol - Celta,Espanyol,Celta
1597,2004-2005,8,3-2,Real Betis - Albacete,Real Betis,Albacete
1598,2004-2005,8,1-3,Mallorca - Barcelona,Mallorca,Barcelona
1599,2004-2005,8,1-3,Real Murcia - Atlético,Real Murcia,Atlético
1600,2004-2005,9,0-0,Real Zaragoza - Real Madrid,Real Zaragoza,Real Madrid
1601,2004-2005,9,1-1,Sevilla - Real Valladolid,Sevilla,Real Valladolid
1602,2004-2005,9,0-1,Racing - Espanyol,Racing,Espanyol
1603,2004-2005,9,2-0,Osasuna - Real Betis,Osasuna,Real Betis
1604,2004-2005,9,0-2,Deportivo - Mallorca,Deportivo,Mallorca
1605,2004-2005,9,3-0,Barcelona - Real Murcia,Barcelona,Real Murcia
1606,2004-2005,9,2-1,Athletic - Málaga,Athletic,Málaga
1607,2004-2005,9,2-0,Albacete - Villarreal,Albacete,Villarreal
1608,2004-2005,9,2-2,Valencia - Celta,Valencia,Celta
1609,2004-2005,9,4-0,Atlético - R. Sociedad,Atlético,R. Sociedad
1610,2004-2005,10,0-1,Celta - Racing,Celta,Racing
1611,2004-2005,10,0-0,Real Murcia - Deportivo,Real Murcia,Deportivo
1612,2004-2005,10,3-0,Real Madrid - Athletic,Real Madrid,Athletic
1613,2004-2005,10,2-0,Real Valladolid - Albacete,Real Valladolid,Albacete
1614,2004-2005,10,1-0,Villarreal - Osasuna,Villarreal,Osasuna
1615,2004-2005,10,2-0,Málaga - Sevilla,Málaga,Sevilla
1616,2004-2005,10,0-2,Espanyol - Real Zaragoza,Espanyol,Real Zaragoza
1617,2004-2005,10,1-2,Real Betis - Atlético,Real Betis,Atlético
1618,2004-2005,10,3-3,R. Sociedad - Barcelona,R. Sociedad,Barcelona
1619,2004-2005,10,0-5,Mallorca - Valencia,Mallorca,Valencia
1620,2004-2005,11,1-0,Athletic - Espanyol,Athletic,Espanyol
1621,2004-2005,11,1-1,Real Zaragoza - Celta,Real Zaragoza,Celta
1622,2004-2005,11,2-1,Deportivo - R. Sociedad,Deportivo,R. Sociedad
1623,2004-2005,11,1-1,Osasuna - Real Valladolid,Osasuna,Real Valladolid
1624,2004-2005,11,4-1,Mallorca - Real Murcia,Mallorca,Real Murcia
1625,2004-2005,11,1-2,Valencia - Racing,Valencia,Racing
1626,2004-2005,11,1-0,Atlético - Villarreal,Atlético,Villarreal
1627,2004-2005,11,0-1,Albacete - Málaga,Albacete,Málaga
1628,2004-2005,11,2-1,Barcelona - Real Betis,Barcelona,Real Betis
1629,2004-2005,11,4-1,Sevilla - Real Madrid,Sevilla,Real Madrid
1630,2004-2005,12,0-0,Real Betis - Deportivo,Real Betis,Deportivo
1631,2004-2005,12,0-1,R. Sociedad - Mallorca,R. Sociedad,Mallorca
1632,2004-2005,12,2-1,Villarreal - Barcelona,Villarreal,Barcelona
1633,2004-2005,12,1-2,Racing - Real Zaragoza,Racing,Real Zaragoza
1634,2004-2005,12,0-0,Málaga - Osasuna,Málaga,Osasuna
1635,2004-2005,12,1-0,Espanyol - Sevilla,Espanyol,Sevilla
1636,2004-2005,12,0-2,Celta - Athletic,Celta,Athletic
1637,2004-2005,12,3-1,Real Valladolid - Atlético,Real Valladolid,Atlético
1638,2004-2005,12,2-1,Real Madrid - Albacete,Real Madrid,Albacete
1639,2004-2005,12,2-2,Real Murcia - Valencia,Real Murcia,Valencia
1640,2004-2005,13,2-2,Real Murcia - R. Sociedad,Real Murcia,R. Sociedad
1641,2004-2005,13,1-1,Osasuna - Real Madrid,Osasuna,Real Madrid
1642,2004-2005,13,2-0,Atlético - Málaga,Atlético,Málaga
1643,2004-2005,13,3-2,Valencia - Real Zaragoza,Valencia,Real Zaragoza
1644,2004-2005,13,2-1,Mallorca - Real Betis,Mallorca,Real Betis
1645,2004-2005,13,1-2,Athletic - Racing,Athletic,Racing
1646,2004-2005,13,2-1,Albacete - Espanyol,Albacete,Espanyol
1647,2004-2005,13,0-1,Sevilla - Celta,Sevilla,Celta
1648,2004-2005,13,0-0,Barcelona - Real Valladolid,Barcelona,Real Valladolid
1649,2004-2005,13,0-1,Deportivo - Villarreal,Deportivo,Villarreal
1650,2004-2005,14,0-0,R. Sociedad - Valencia,R. Sociedad,Valencia
1651,2004-2005,14,5-1,Málaga - Barcelona,Málaga,Barcelona
1652,2004-2005,14,1-1,Real Betis - Real Murcia,Real Betis,Real Murcia
1653,2004-2005,14,2-2,Celta - Albacete,Celta,Albacete
1654,2004-2005,14,0-1,Espanyol - Osasuna,Espanyol,Osasuna
1655,2004-2005,14,0-2,Villarreal - Mallorca,Villarreal,Mallorca
1656,2004-2005,14,1-1,Real Valladolid - Deportivo,Real Valladolid,Deportivo
1657,2004-2005,14,2-0,Real Madrid - Atlético,Real Madrid,Atlético
1658,2004-2005,14,0-4,Racing - Sevilla,Racing,Sevilla
1659,2004-2005,14,2-2,Real Zaragoza - Athletic,Real Zaragoza,Athletic
1660,2004-2005,15,1-0,Deportivo - Málaga,Deportivo,Málaga
1661,2004-2005,15,3-2,Osasuna - Celta,Osasuna,Celta
1662,2004-2005,15,0-4,R. Sociedad - Real Betis,R. Sociedad,Real Betis
1663,2004-2005,15,1-2,Barcelona - Real Madrid,Barcelona,Real Madrid
1664,2004-2005,15,4-0,Albacete - Racing,Albacete,Racing
1665,2004-2005,15,3-2,Sevilla - Real Zaragoza,Sevilla,Real Zaragoza
1666,2004-2005,15,1-0,Mallorca - Real Valladolid,Mallorca,Real Valladolid
1667,2004-2005,15,1-1,Real Murcia - Villarreal,Real Murcia,Villarreal
1668,2004-2005,15,2-0,Atlético - Espanyol,Atlético,Espanyol
1669,2004-2005,15,2-1,Valencia - Athletic,Valencia,Athletic
1670,2004-2005,16,1-3,Espanyol - Barcelona,Espanyol,Barcelona
1671,2004-2005,16,2-2,Celta - Atlético,Celta,Atlético
1672,2004-2005,16,2-0,Villarreal - R. Sociedad,Villarreal,R. Sociedad
1673,2004-2005,16,0-0,Real Valladolid - Real Murcia,Real Valladolid,Real Murcia
1674,2004-2005,16,0-0,Racing - Osasuna,Racing,Osasuna
1675,2004-2005,16,3-1,Málaga - Mallorca,Málaga,Mallorca
1676,2004-2005,16,0-1,Real Betis - Valencia,Real Betis,Valencia
1677,2004-2005,16,0-1,Real Zaragoza - Albacete,Real Zaragoza,Albacete
1678,2004-2005,16,2-1,Real Madrid - Deportivo,Real Madrid,Deportivo
1679,2004-2005,16,2-1,Athletic - Sevilla,Athletic,Sevilla
1680,2004-2005,17,1-3,R. Sociedad - Real Valladolid,R. Sociedad,Real Valladolid
1681,2004-2005,17,2-2,Atlético - Racing,Atlético,Racing
1682,2004-2005,17,1-0,Valencia - Sevilla,Valencia,Sevilla
1683,2004-2005,17,1-3,Real Betis - Villarreal,Real Betis,Villarreal
1684,2004-2005,17,1-1,Albacete - Athletic,Albacete,Athletic
1685,2004-2005,17,1-2,Real Murcia - Málaga,Real Murcia,Málaga
1686,2004-2005,17,0-1,Osasuna - Real Zaragoza,Osasuna,Real Zaragoza
1687,2004-2005,17,2-1,Deportivo - Espanyol,Deportivo,Espanyol
1688,2004-2005,17,1-3,Mallorca - Real Madrid,Mallorca,Real Madrid
1689,2004-2005,17,1-1,Barcelona - Celta,Barcelona,Celta
1690,2004-2005,18,1-0,Real Madrid - Real Murcia,Real Madrid,Real Murcia
1691,2004-2005,18,0-0,Real Zaragoza - Atlético,Real Zaragoza,Atlético
1692,2004-2005,18,0-5,Celta - Deportivo,Celta,Deportivo
1693,2004-2005,18,2-0,Espanyol - Mallorca,Espanyol,Mallorca
1694,2004-2005,18,1-2,Málaga - R. Sociedad,Málaga,R. Sociedad
1695,2004-2005,18,2-0,Sevilla - Albacete,Sevilla,Albacete
1696,2004-2005,18,0-0,Real Valladolid - Real Betis,Real Valladolid,Real Betis
1697,2004-2005,18,1-1,Athletic - Osasuna,Athletic,Osasuna
1698,2004-2005,18,3-0,Racing - Barcelona,Racing,Barcelona
1699,2004-2005,18,4-2,Valencia - Villarreal,Valencia,Villarreal
1700,2004-2005,19,0-1,Albacete - Valencia,Albacete,Valencia
1701,2004-2005,19,2-4,Mallorca - Celta,Mallorca,Celta
1702,2004-2005,19,1-0,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
1703,2004-2005,19,1-1,Osasuna - Sevilla,Osasuna,Sevilla
1704,2004-2005,19,0-1,Real Murcia - Espanyol,Real Murcia,Espanyol
1705,2004-2005,19,1-1,Deportivo - Racing,Deportivo,Racing
1706,2004-2005,19,3-0,Real Betis - Málaga,Real Betis,Málaga
1707,2004-2005,19,3-1,Villarreal - Real Valladolid,Villarreal,Real Valladolid
1708,2004-2005,19,3-0,Barcelona - Real Zaragoza,Barcelona,Real Zaragoza
1709,2004-2005,19,3-0,Atlético - Athletic,Atlético,Athletic
1710,2004-2005,20,2-2,Real Murcia - Celta,Real Murcia,Celta
1711,2004-2005,20,0-0,Real Valladolid - Valencia,Real Valladolid,Valencia
1712,2004-2005,20,1-1,Barcelona - Athletic,Barcelona,Athletic
1713,2004-2005,20,3-1,R. Sociedad - Espanyol,R. Sociedad,Espanyol
1714,2004-2005,20,1-1,Osasuna - Albacete,Osasuna,Albacete
1715,2004-2005,20,1-1,Mallorca - Racing,Mallorca,Racing
1716,2004-2005,20,4-1,Deportivo - Real Zaragoza,Deportivo,Real Zaragoza
1717,2004-2005,20,2-0,Villarreal - Málaga,Villarreal,Málaga
1718,2004-2005,20,2-1,Atlético - Sevilla,Atlético,Sevilla
1719,2004-2005,20,1-1,Real Betis - Real Madrid,Real Betis,Real Madrid
1720,2004-2005,21,2-1,Real Madrid - Villarreal,Real Madrid,Villarreal
1721,2004-2005,21,1-1,Albacete - Atlético,Albacete,Atlético
1722,2004-2005,21,0-1,Valencia - Osasuna,Valencia,Osasuna
1723,2004-2005,21,3-2,Racing - Real Murcia,Racing,Real Murcia
1724,2004-2005,21,2-3,Málaga - Real Valladolid,Málaga,Real Valladolid
1725,2004-2005,21,1-2,Espanyol - Real Betis,Espanyol,Real Betis
1726,2004-2005,21,2-5,Celta - R. Sociedad,Celta,R. Sociedad
1727,2004-2005,21,1-3,Real Zaragoza - Mallorca,Real Zaragoza,Mallorca
1728,2004-2005,21,0-1,Sevilla - Barcelona,Sevilla,Barcelona
1729,2004-2005,21,1-0,Athletic - Deportivo,Athletic,Deportivo
1730,2004-2005,22,1-1,Atlético - Osasuna,Atlético,Osasuna
1731,2004-2005,22,1-6,Málaga - Valencia,Málaga,Valencia
1732,2004-2005,22,1-0,Real Betis - Celta,Real Betis,Celta
1733,2004-2005,22,2-3,Real Valladolid - Real Madrid,Real Valladolid,Real Madrid
1734,2004-2005,22,1-0,R. Sociedad - Racing,R. Sociedad,Racing
1735,2004-2005,22,1-0,Real Murcia - Real Zaragoza,Real Murcia,Real Zaragoza
1736,2004-2005,22,1-3,Mallorca - Athletic,Mallorca,Athletic
1737,2004-2005,22,0-1,Villarreal - Espanyol,Villarreal,Espanyol
1738,2004-2005,22,5-0,Barcelona - Albacete,Barcelona,Albacete
1739,2004-2005,22,1-0,Deportivo - Sevilla,Deportivo,Sevilla
1740,2004-2005,23,3-0,Valencia - Atlético,Valencia,Atlético
1741,2004-2005,23,2-1,Real Madrid - Málaga,Real Madrid,Málaga
1742,2004-2005,23,3-0,Sevilla - Mallorca,Sevilla,Mallorca
1743,2004-2005,23,1-2,Racing - Real Betis,Racing,Real Betis
1744,2004-2005,23,2-0,Espanyol - Real Valladolid,Espanyol,Real Valladolid
1745,2004-2005,23,2-1,Celta - Villarreal,Celta,Villarreal
1746,2004-2005,23,2-1,Athletic - Real Murcia,Athletic,Real Murcia
1747,2004-2005,23,0-2,Albacete - Deportivo,Albacete,Deportivo
1748,2004-2005,23,1-2,Osasuna - Barcelona,Osasuna,Barcelona
1749,2004-2005,23,2-1,Real Zaragoza - R. Sociedad,Real Zaragoza,R. Sociedad
1750,2004-2005,24,1-3,Real Murcia - Sevilla,Real Murcia,Sevilla
1751,2004-2005,24,1-1,R. Sociedad - Athletic,R. Sociedad,Athletic
1752,2004-2005,24,0-2,Real Valladolid - Celta,Real Valladolid,Celta
1753,2004-2005,24,0-0,Mallorca - Albacete,Mallorca,Albacete
1754,2004-2005,24,5-2,Málaga - Espanyol,Málaga,Espanyol
1755,2004-2005,24,2-0,Deportivo - Osasuna,Deportivo,Osasuna
1756,2004-2005,24,2-1,Real Betis - Real Zaragoza,Real Betis,Real Zaragoza
1757,2004-2005,24,6-3,Villarreal - Racing,Villarreal,Racing
1758,2004-2005,24,1-1,Real Madrid - Valencia,Real Madrid,Valencia
1759,2004-2005,24,3-1,Barcelona - Atlético,Barcelona,Atlético
1760,2004-2005,25,0-0,Atlético - Deportivo,Atlético,Deportivo
1761,2004-2005,25,2-4,Espanyol - Real Madrid,Espanyol,Real Madrid
1762,2004-2005,25,0-2,Celta - Málaga,Celta,Málaga
1763,2004-2005,25,1-0,Sevilla - R. Sociedad,Sevilla,R. Sociedad
1764,2004-2005,25,0-1,Valencia - Barcelona,Valencia,Barcelona
